timestamp,elapsed_ms,length_ms,file_path,album,genres,artist,song
1749348882,311484,311533,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 10. Spectrum (Say My Name).flac,Ceremonials,"",Florence + The Machine,Spectrum (Say My Name)
1749349128,245864,245880,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 11. All This And Heaven Too.flac,Ceremonials,"",Florence + The Machine,All This And Heaven Too
1749349402,274573,274586,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 12. Leave My Body.flac,Ceremonials,"",Florence + The Machine,Leave My Body
1749349631,98638,98661,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 01. No Manners (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,No Manners (Explicit)
1749349798,166974,166997,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 02. Gonna Love Me (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Gonna Love Me (Explicit)
1749349984,185965,185979,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 03. Issues_Hold On (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Issues_Hold On (Explicit)
1749350024,40097,174200,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 04. Hurry (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Hurry (Explicit)
1749350228,203598,203636,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 05. 3Way (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,3Way (Explicit)
1749350451,222824,222828,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 06. Rose In Harlem (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Rose In Harlem (Explicit)
1749350611,159895,159924,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 07. Never Would Have Made It (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Never Would Have Made It (Explicit)
1749350778,166817,166849,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 08. WTP (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,WTP (Explicit)
1749373024,166347,166424,/<HDD0>/Music/Jorja Smith/Be Right Back (Explicit)/Jorja Smith - 05. Home.flac,Be Right Back (Explicit),"",Jorja Smith,Home
1749373239,214569,214586,/<HDD0>/Music/Lana Del Rey/Born To Die (Explicit)/Lana Del Rey - 08. Radio (Explicit).flac,Born To Die (Explicit),"",Lana Del Rey,Radio (Explicit)
1749373589,49597,184133,/<HDD0>/Music/BigXthaPlug/TAKE CARE (Explicit)/BigXthaPlug - 10. 2AM (Explicit).flac,TAKE CARE (Explicit),"",BigXthaPlug,2AM (Explicit)
1749384194,320679,320680,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 01. Ultralight Beam (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Ultralight Beam (Explicit)
1749384403,135888,135920,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 02. Father Stretch My Hands Pt. 1 (Explici.flac,The Life Of Pablo (Explicit),"",Kanye West,Father Stretch My Hands Pt. 1 (Explici
1749384533,130272,130293,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 03. Pt. 2 (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Pt. 2 (Explicit)
1749384729,196022,196040,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 04. Famous (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Famous (Explicit)
1749384876,147226,147240,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 05. Feedback (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Feedback (Explicit)
1749385008,131761,131773,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 06. Low Lights (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Low Lights (Explicit)
1749385367,58932,199866,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 07. Highlights (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Highlights (Explicit)
1749402381,298422,298453,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 01. Only If For A Night.flac,Ceremonials,"",Florence + The Machine,Only If For A Night
1749402627,245864,245880,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 11. All This And Heaven Too.flac,Ceremonials,"",Florence + The Machine,All This And Heaven Too
1749402954,26984,301453,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 09. Heartlines.flac,Ceremonials,"",Florence + The Machine,Heartlines
