artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
JID,Money (Explicit),The Forever Story (Extended Version) (Ex,"",1,266345,257985
Jorja Smith,On Your Own,Lost & Found,"",1,241975,241893
Daniel Caesar,Have A Baby (With Me),Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,225874,225854
Kanye West,30 Hours (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,323302,323291
SZA,Doves In The Wind (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,266080,266007
Alessia Cara,Four Pink Walls,Know-It-All,"pop,soul,rnb",1,211893,25417
BLK ODYSSY,SUMMER IN THE RAIN (Explicit),DIAMONDS & FREAKS (Explicit),"",1,188775,188731
BigXthaPlug,2AM (Explicit),TAKE CARE (Explicit),hip-hop,1,184133,49597
Odeal,Patience,The Summer That Saved Me (Explicit),"",1,200346,200341
Megan Thee Stallion,Big Drank (Explicit),Fever (Explicit),rap,1,207772,835
Jorja Smith,Tomorrow,Lost & Found,"",1,232630,232594
Rihanna,Desperado,ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,186466,186462
Florence + The Machine,Third Eye,"How Big, How Blue, How Beautiful","indie rock,indie pop,indie",1,260192,14210
SZA,Wavy (Interlude) (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,75800,75789
Arctic Monkeys,505,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,253586,253561
rum.gold,Hazel Chandeliers,aiMless,"soul,pop,singer-songwriter",1,206093,206053
JAY-Z,Smile (Explicit),4_44 (Explicit),"",1,289853,289802
Dexta Daps,Ashes (Explicit),VENT (Explicit),"dancehall,reggae",1,173380,173348
Ariana Grande,Bad Decisions (Explicit),Dangerous Woman (Explicit),"pop,rnb",1,226426,226403
Kanye West,Freestyle 4 (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,123386,123350
Daniel Caesar,Moon,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,317000,316969
Dexta Daps,Obviously (Explicit),VENT (Explicit),"dancehall,reggae",1,160000,159973
Kendrick Lamar,For Free_ (Interlude) (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",1,130893,130873
Arctic Monkeys,"If You Were There, Beware",Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,274200,274181
Daniel Caesar,Rain Down,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,187627,187585
PARTYNEXTDOOR,S t u c k  I n  M y  W a y s (Explicit),PARTYNEXTDOOR 4 (P4) (Explicit),"",1,179971,179908
BLK ODYSSY,BROKE FOLK FUNK (Explicit),DIAMONDS & FREAKS (Explicit),"",1,206932,206843
Rihanna,Higher (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,120626,120607
JAY-Z,Kill Jay Z (Explicit),4_44 (Explicit),"",1,178066,178050
Dexta Daps,Most Wanted (Explicit),VENT (Explicit),"dancehall,reggae",1,240000,239908
Hozier,Like Real People Do,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,198026,198019
Daniel Caesar,Touching God,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,281000,280973
SZA,Go Gina (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,161613,4736
Teyana Taylor,No Manners (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,98661,98638
Arctic Monkeys,Only Ones Who Know,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,181480,181394
Dexta Daps,Consistency (Explicit),VENT (Explicit),"dancehall,reggae",1,168000,167915
Odeal,HBTS (Haven't Been The Same),Lustropolis (Explicit),"",1,183703,183623
Arctic Monkeys,The Bad Thing,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,143213,143127
Olivia Dean,Baby Steps,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,197000,196998
Arctic Monkeys,Old Yellow Bricks,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,187133,187059
BLK ODYSSY,ORANGE WINE (Explicit),DIAMONDS & FREAKS (Explicit),"",1,186061,186038
Kanye West,Siiiiiiiiilver Surffffeeeeer Intermiss,The Life Of Pablo (Explicit),"hip hop,rap",1,56560,56528
JID,Wholeheartedly (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",1,225763,16587
Lauryn Hill,"Every Ghetto, Every City",The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",1,314706,314676
Jorja Smith,Home,Be Right Back (Explicit),"downtempo,neo-soul,contemporary rnb",1,166424,166347
BLK ODYSSY,JUDAS & THE HOLY MOTHER OF STANK (Explicit),DIAMONDS & FREAKS (Explicit),"",1,168562,168483
Kanye West,Facts (Charlie Heat Version) (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,200733,200724
Rihanna,Consideration (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,161066,161018
BLK ODYSSY,EPHESIANS (Explicit),DIAMONDS & FREAKS (Explicit),"",1,180487,180465
Rihanna,Close To You,ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,223226,223190
Lana Del Rey,Million Dollar Man,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,231560,8228
JID,Lauder Too (Explicit),The Forever Story (Extended Version) (Ex,"",1,233077,233038
Jorja Smith,Lifeboats (Freestyle),Lost & Found,"",1,172490,4493
JID,Gz (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",1,208651,208613
JID,Galaxy (Explicit),The Forever Story (Extended Version) (Ex,"",1,52041,52035
Daniel Caesar,Baby Blue,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,357705,357694
Rihanna,Never Ending,ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,202506,202501
Jorja Smith,Teenage Fantasy,Lost & Found,"",1,226906,226847
Burna Boy,Gum Body (feat. Jorja Smith),African Giant (Explicit),"rap,hip-hop",1,195073,557
Hozier,First Light,Unreal Unearth_ Unaired,"",1,292080,292014
Rihanna,Woo (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,235586,235546
Olivia Dean,Nice To Each Other,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,209000,208979
BLK ODYSSY,LET ME GO (Explicit),DIAMONDS & FREAKS (Explicit),"",1,192948,192911
Odeal,Blame U,Lustropolis (Explicit),"",1,169000,168948
The Neighbourhood,Wiped Out!,Wiped Out!,"indie,indie rock,alternative,indie pop",1,373373,373283
Lauryn Hill,Everything Is Everything,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",1,293266,1207
Teyana Taylor,Hurry (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,174200,40097
twenty one pilots,Midwest Indigo,Clancy,"rock,alternative,trip-hop",1,196266,196255
JAY-Z,4_44 (Explicit),4_44 (Explicit),"",1,284493,284447
Alessia Cara,Outlaws,Know-It-All,"pop,soul,rnb",1,203026,202997
BLK ODYSSY,YOU GOTTA MAN (Explicit),DIAMONDS & FREAKS (Explicit),"",1,193998,193933
Hozier,Sedated,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,207666,207586
Rihanna,"Yeah, I Said It (Explicit)",ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,133080,133067
Solange,Interlude_ This Moment,A Seat at the Table (Explicit),"neo-soul,rnb",1,49453,49412
Mahalia,Hide Out,LOVE AND COMPROMISE (Explicit),"rnb,pop,funk",1,169880,169877
Solange,Mad (Explicit),A Seat at the Table (Explicit),"neo-soul,rnb",1,235493,235450
Teyana Taylor,Issues_Hold On (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,185979,185965
Lana Del Rey,This Is What Makes Us Girls,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,240306,240300
Dexta Daps,F.U 4 Life (Explicit),VENT (Explicit),"dancehall,reggae",1,175738,175647
Kendrick Lamar,King Kunta (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",1,234693,234684
Mahalia,Good Company (feat. Terrace Martin) (Explicit),LOVE AND COMPROMISE (Explicit),"rnb,pop,funk",1,307906,143777
Rihanna,Love On The Brain (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,224000,223947
Solange,Interlude_ Tina Taught Me,A Seat at the Table (Explicit),"neo-soul,rnb",1,74866,74861
Hozier,In a Week,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,318493,318484
SZA,Garden (Say It Like Dat) (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,208400,208329
BLK ODYSSY,DIAMONDS & FREAKS (Explicit),DIAMONDS & FREAKS (Explicit),"",1,190840,190775
Florence + The Machine,Leave My Body,Ceremonials,"indie,female vocalists,alternative,indie pop,british",1,274586,274573
Jorja Smith,Blue Lights,Lost & Found,"",1,250454,210233
Solange,Don't Touch My Hair (Explicit),A Seat at the Table (Explicit),"neo-soul,rnb",1,257546,257462
twenty one pilots,Backslide,Clancy,"rock,alternative,trip-hop",1,180000,179908
twenty one pilots,Next Semester,Clancy,"rock,alternative,trip-hop",1,234400,234335
Rihanna,Same Ol_ Mistakes,ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,397093,397061
BLK ODYSSY,ADAM & EVE (Explicit),DIAMONDS & FREAKS (Explicit),"",1,269474,269444
Hozier,Unknown _ Nth,Unreal Unearth_ Unaired,"",1,280106,280032
Kanye West,No More Parties In LA (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,374413,374413
JID,Sk8 (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",1,190663,190641
Daniel Caesar,Root of all Evil,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,265000,264986
Jorja Smith,Goodbyes,Lost & Found,"",1,230929,230922
Olivia Dean,The Art of Loving (Intro),The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,40500,40495
Kendrick Lamar,Wesley's Theory (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",1,287360,287346
Dexta Daps,Unpredictable (Couldn't Left Yuh) (Explicit),VENT (Explicit),"dancehall,reggae",1,188721,188708
rum.gold,Waiting For (feat. Jamila Woods),aiMless,"soul,pop,singer-songwriter",1,200214,200202
Rihanna,Needed Me (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,191600,191582
Nina Simone,Blues On Purpose,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,197240,197198
Arctic Monkeys,Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,173493,173406
Teyana Taylor,3Way (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,203636,203598
Teyana Taylor,WTP (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,166849,166817
twenty one pilots,Navigating,Clancy,"rock,alternative,trip-hop",1,223106,223097
Arctic Monkeys,This House Is a Circus (Explicit),Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,189680,189660
Jorja Smith,Wandering Romance,Lost & Found,"",1,275618,275539
Dexta Daps,Undefeated (Explicit),VENT (Explicit),"dancehall,reggae",1,163750,163735
Vance Joy,We All Die Trying to Get It Right,Dream Your Life Away,"indie,indie folk,folk,indie pop",1,247560,238886
JID,VCRs (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",1,238272,238236
Solange,Interlude_ The Glory is in You,A Seat at the Table (Explicit),"neo-soul,rnb",1,17773,17740
Jorja Smith,Lost & Found,Lost & Found,"",1,314433,314409
Lana Del Rey,Carmen,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,248720,248685
SZA,Broken Clocks (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,231253,231177
Hozier,Foreigner's God,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,225226,225140
Olivia Dean,Loud,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,184000,183994
John Coltrane,I'm Old Fashioned,Blue Train,"jazz,hard bop,bebop",1,479023,313391
Megan Thee Stallion,Running Up Freestyle (Explicit),Fever (Explicit),rap,1,124802,124737
Odeal,Monster Boys (Explicit),The Summer That Saved Me (Explicit),"",1,113211,113127
twenty one pilots,Vignette,Clancy,"rock,alternative,trip-hop",1,202133,202106
Hozier,Work Song,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,229720,229691
JID,Crack Sandwich (Explicit),The Forever Story (Extended Version) (Ex,"",1,297668,297639
Solange,Where Do We Go,A Seat at the Table (Explicit),"neo-soul,rnb",1,264373,127059
Ariana Grande,Let Me Love You,Dangerous Woman (Explicit),"pop,rnb",1,223880,2429
Hozier,To Be Alone,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,323640,323593
BigXthaPlug,Take Care (Explicit),TAKE CARE (Explicit),hip-hop,1,149573,149536
Nina Simone,Marriage Is For Old Folks,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,209440,209397
twenty one pilots,At The Risk Of Feeling Dumb,Clancy,"rock,alternative,trip-hop",1,203853,203778
Lana Del Rey,Off To The Races,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,299933,299911
Hozier,It Will Come Back,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,277653,277617
Jorja Smith,February 3rd,Lost & Found,"",1,242035,36780
Solange,Weary,A Seat at the Table (Explicit),"neo-soul,rnb",1,194253,194211
The Neighbourhood,Baby Came Home 2 _ Valentines,Wiped Out!,"indie,indie rock,alternative,indie pop",1,390493,7801
Lauryn Hill,Nothing Even Matters,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",1,350533,295264
Dexta Daps,Nosey Neighbours (Explicit),VENT (Explicit),"dancehall,reggae",1,259213,259134
Arctic Monkeys,D Is for Dangerous,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,134733,134675
Mahalia,Square 1,LOVE AND COMPROMISE (Explicit),"rnb,pop,funk",1,220306,220218
Lana Del Rey,Born To Die,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,286253,286223
PARTYNEXTDOOR,C o n t r o l (Explicit),PARTYNEXTDOOR 4 (P4) (Explicit),"",1,262081,262013
twenty one pilots,Routines In The Night,Clancy,"rock,alternative,trip-hop",1,202600,202570
Nina Simone,Beautiful Land,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,114333,114311
BLK ODYSSY,MS SWEET TEA (Explicit),DIAMONDS & FREAKS (Explicit),"",1,166892,166812
Megan Thee Stallion,Sex Talk (Explicit),Fever (Explicit),rap,1,131209,10309
Kendrick Lamar,Compton (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",1,248093,248084
Solange,Interlude_ Dad Was Mad,A Seat at the Table (Explicit),"neo-soul,rnb",1,46266,46254
SZA,Supermodel (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,181120,181115
rum.gold,An Apology (Intro),aiMless,"soul,pop,singer-songwriter",1,85973,1880
Kendrick Lamar,"Bitch, Don_t Kill My Vibe (Remix)","good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",1,278573,278569
Lana Del Rey,Blue Jeans (Explicit),Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,209440,209397
Mahalia,Simmer (feat. Burna Boy),LOVE AND COMPROMISE (Explicit),"rnb,pop,funk",1,167186,167183
Burna Boy,Gbona,African Giant (Explicit),"rap,hip-hop",1,187609,187524
Vance Joy,Wasted Time,Dream Your Life Away,"indie,indie folk,folk,indie pop",1,300973,300930
Kanye West,Saint Pablo (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,372113,372088
Olivia Dean,Something Inbetween,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,152000,151951
JAY-Z,Bam (Explicit),4_44 (Explicit),"",1,234973,234945
JAY-Z,Legacy (Explicit),4_44 (Explicit),"",1,177133,177084
Olivia Dean,Let Alone The One You Love,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,186000,185945
twenty one pilots,Lavish,Clancy,"rock,alternative,trip-hop",1,158866,158824
Kendrick Lamar,For Sale_ (Interlude) (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",1,291720,279666
Mahalia,I Wish I Missed My Ex,LOVE AND COMPROMISE (Explicit),"rnb,pop,funk",1,203066,203035
Alessia Cara,Seventeen,Know-It-All,"pop,soul,rnb",1,212933,146259
Megan Thee Stallion,Hood Rat Shit (Explicit),Fever (Explicit),rap,1,181231,44489
Vance Joy,Mess Is Mine,Dream Your Life Away,"indie,indie folk,folk,indie pop",1,223640,223561
Ariana Grande,Leave Me Lonely,Dangerous Woman (Explicit),"pop,rnb",1,229680,3683
Solange,Cranes in the Sky,A Seat at the Table (Explicit),"neo-soul,rnb",1,250973,250961
PARTYNEXTDOOR,M a k e  I t  T o  T h e  M o r n i,PARTYNEXTDOOR 4 (P4) (Explicit),"",1,168453,87399
JAY-Z,Moonlight (Explicit),4_44 (Explicit),"",1,143986,143934
Vance Joy,From Afar,Dream Your Life Away,"indie,indie folk,folk,indie pop",1,262200,262199
Kendrick Lamar,Real (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",1,443413,443376
BLK ODYSSY,HONEYSUCKLE NECKBONE (Explicit),DIAMONDS & FREAKS (Explicit),"",1,201155,201084
Jorja Smith,Don't Watch Me Cry,Lost & Found,"",1,190429,190380
Daniel Caesar,Sins Of The Father,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,470500,470491
Burna Boy,Killin Dem (feat. Zlatan),African Giant (Explicit),"rap,hip-hop",1,221100,650
Daniel Caesar,Call On Me,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,169004,168986
Nina Simone,You've Got To Learn,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,160933,160914
Olivia Dean,So Easy (To Fall In Love),The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,169000,168948
Mahalia,Hey Stranger,IRL (Explicit),"",1,163053,151579
The Neighbourhood,Ferrari,Wiped Out!,"indie,indie rock,alternative,indie pop",1,184173,19690
twenty one pilots,Paladin Strait,Clancy,"rock,alternative,trip-hop",1,388586,388516
Daniel Caesar,Ocho Rios,NEVER ENOUGH (Bonus Version) (Explicit),"",1,153171,19200
Lauryn Hill,Forgive Them Father,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",1,315293,315234
Burna Boy,Show & Tell (feat. Future) (Explicit),African Giant (Explicit),"rap,hip-hop",1,162951,162911
Alessia Cara,Overdose,Know-It-All,"pop,soul,rnb",1,208640,208613
Hozier,Francesca,Unreal Unearth_ Unaired,"",1,270066,265171
Solange,Rise,A Seat at the Table (Explicit),"neo-soul,rnb",1,101813,101796
Vance Joy,Riptide,Dream Your Life Away,"indie,indie folk,folk,indie pop",1,204280,204242
Vance Joy,Who Am I,Dream Your Life Away,"indie,indie folk,folk,indie pop",1,159600,159567
twenty one pilots,Snap Back,Clancy,"rock,alternative,trip-hop",1,210266,210187
Daniel Caesar,No More Loving (On Women I Don_t Lo,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,198200,198164
Hozier,Take Me to Church,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,241693,241673
PARTYNEXTDOOR,L o s e  M y  M i n d (Explicit),PARTYNEXTDOOR 4 (P4) (Explicit),"",1,183990,183902
Lana Del Rey,Video Games,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,281946,281939
Burna Boy,On the Low,African Giant (Explicit),"rap,hip-hop",1,185898,185852
Lana Del Rey,Dark Paradise,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,243173,243121
Dexta Daps,War Season (Explicit),VENT (Explicit),"dancehall,reggae",1,210612,210546
Jorja Smith,The One,Lost & Found,"",1,197574,197485
The Neighbourhood,Prey,Wiped Out!,"indie,indie rock,alternative,indie pop",1,282640,282633
SZA,Prom (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,196133,196069
Kanye West,I Love Kanye (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,44826,44826
John Coltrane,Locomotion,Blue Train,"jazz,hard bop,bebop",1,434624,434599
Kanye West,Fade (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,193747,193724
Jhen_ Aiko,Bed Peace (Explicit),Sail Out (Explicit),"",1,256080,96757
BLK ODYSSY,PINK MARMALADE (Explicit),DIAMONDS & FREAKS (Explicit),"",1,201017,200991
SZA,Drew Barrymore (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,231400,231363
Dexta Daps,A Plus (Explicit),VENT (Explicit),"dancehall,reggae",1,175451,175438
Burna Boy,Wetin Man Go Do,African Giant (Explicit),"rap,hip-hop",1,188181,14117
John Coltrane,Lazy Bird,Blue Train,"jazz,hard bop,bebop",1,427341,427311
Olivia Dean,Man I Need,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,184000,183994
Daniel Caesar,Who Knows,Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,226283,226272
The Neighbourhood,R.I.P. 2 My Youth,Wiped Out!,"indie,indie rock,alternative,indie pop",1,205280,205264
rum.gold,Call It What You Want,aiMless,"soul,pop,singer-songwriter",1,234905,234893
Arctic Monkeys,Brianstorm,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,170253,170248
twenty one pilots,The Craving (Jenna's version),Clancy,"rock,alternative,trip-hop",1,174133,174056
Solange,Interlude_ For Us By Us,A Seat at the Table (Explicit),"neo-soul,rnb",1,52680,52662
Jorja Smith,Where Did I Go_,Lost & Found,"",1,191992,191947
Kanye West,Waves (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,181573,181551
Olivia Dean,I've Seen It,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,126000,125945
Rihanna,Kiss It Better (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,253080,253074
Daniel Caesar,Emily_s Song (Explicit),Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,174384,174341
twenty one pilots,Oldies Station,Clancy,"rock,alternative,trip-hop",1,228000,227927
BLK ODYSSY,ODEE (Explicit),DIAMONDS & FREAKS (Explicit),"",1,206576,206564
JID,What We On (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",1,238607,238576
Teyana Taylor,Rose In Harlem (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,222828,222824
Arctic Monkeys,Teddy Picker (Explicit),Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,160640,160589
Teyana Taylor,Gonna Love Me (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,166997,166974
Kanye West,Real Friends (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,251573,251533
Rihanna,Work (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",1,219320,219297
Arctic Monkeys,Do Me a Favour (Explicit),Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,205240,205171
JAY-Z,Marcy Me (Explicit),4_44 (Explicit),"",1,174426,174393
Mahalia,What Am I_,LOVE AND COMPROMISE (Explicit),"rnb,pop,funk",1,148413,116099
