artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
Adele,Right As Rain,19 (Explicit),"soul,female vocalists,pop,british",4,197346,612818
Beyoncé,Jealous,BEYONCE (Explicit),rnb,4,184013,720837
Florence + The Machine,Only If For A Night,Ceremonials,"indie,female vocalists,alternative,indie pop,british",4,298453,1193688
Arctic Monkeys,One For The Road,AM,"indie rock,rock,indie,alternative,british",4,206051,647092
Beyoncé,Rocket (Explicit),BEYONCE (Explicit),rnb,4,391906,1567436
DUCKWRTH,Kiss U Right Now (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",4,194776,779072
FKA twigs,lightbeamers,CAPRISONGS (Explicit),electronic,4,211880,811581
Beyoncé,No Angel,BEYONCE (Explicit),rnb,4,228693,486689
DUCKWRTH,Too Bad (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",4,193147,772388
Beyoncé,Blow,BEYONCE (Explicit),rnb,4,309720,695482
Kendrick Lamar,Poetic Justice (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",4,300160,1076581
Jhen_ Aiko,The Vapors,Sail Out (Explicit),"",4,210773,273578
BLK ODYSSY,MURDA (Explicit),BLK VINTAGE_ THE REPRISE (Explicit),"",4,151910,458360
Arctic Monkeys,No. 1 Party Anthem,AM,"indie rock,rock,indie,alternative,british",4,243131,732634
Hozier,Wildflower and Barley,Unreal Unearth_ Unaired,"",4,222177,671983
DUCKWRTH,Coming Closer (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",4,206681,826720
Ruel,Dazed & Confused,Ready,"soul,indie,pop,alternative",4,190992,583096
Hozier,Empire Now,Unreal Unearth_ Unaired,"",4,178196,595265
DUCKWRTH,Trickin'_,SuperGood (Explicit),"neo-soul,contemporary rnb",4,29488,117864
Beyoncé,6 INCH,Lemonade (Explicit),"pop,rnb,soul,rock",4,260440,565810
Adele,Crazy For You,19 (Explicit),"soul,female vocalists,pop,british",3,208040,623871
Adele,Melt My Heart to Stone,19 (Explicit),"soul,female vocalists,pop,british",3,203906,611613
Lauryn Hill,Lost Ones,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",3,333906,955267
DUCKWRTH,World On Wheels (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",3,159812,479292
BLK ODYSSY,GHOST RIDE (Explicit),BLK VINTAGE_ THE REPRISE (Explicit),"",3,150907,452508
SZA,Anything (Explicit),Ctrl (Explicit),"neo-soul,rnb",3,149320,299721
Lauryn Hill,Doo Wop (That Thing),The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",3,320266,891180
Kendrick Lamar,Money Trees (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,386906,1160697
FKA twigs,caprisongs interlude (feat. solo),CAPRISONGS (Explicit),electronic,3,25733,77181
Adele,Chasing Pavements,19 (Explicit),"soul,female vocalists,pop,british",3,210506,631395
Arctic Monkeys,I Want It All,AM,"indie rock,rock,indie,alternative,british",3,185406,556164
FKA twigs,ride the dragon (Explicit),CAPRISONGS (Explicit),electronic,3,188773,566193
twenty one pilots,Not Today,Blurryface,"indie pop,alternative,electronic,indie",3,238040,713874
DUCKWRTH,Super Good (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",3,209591,568659
Arctic Monkeys,Knee Socks,AM,"indie rock,rock,indie,alternative,british",3,257563,318111
Kendrick Lamar,The Art of Peer Pressure (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,324533,973479
Arctic Monkeys,Why'd You Only Call Me When You're,AM,"indie rock,rock,indie,alternative,british",3,161123,483159
FKA twigs,meta angel (Explicit),CAPRISONGS (Explicit),electronic,3,259466,778239
Florence + The Machine,Lover To Lover,Ceremonials,"indie,female vocalists,alternative,indie pop,british",3,242813,569338
DUCKWRTH,Did U Notice_ (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",3,210308,630855
FKA twigs,pamplemousse,CAPRISONGS (Explicit),electronic,3,98146,294243
Kendrick Lamar,"Bitch, Don_t Kill My Vibe (Explicit)","good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,310720,932100
DUCKWRTH,Super Bounce (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",3,218017,653973
JID,Glory,God Does Like Ugly (Explicit),"hip hop,hip-hop",3,239566,718626
Florence + The Machine,Shake It Out,Ceremonials,"indie,female vocalists,alternative,indie pop,british",3,277600,832731
Lauryn Hill,Final Hour,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",3,256000,411456
Lauryn Hill,When It Hurts so Bad,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",3,342200,345698
Kendrick Lamar,Swimming Pools (Drank) (Extended V,"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,313786,941216
Beyoncé,Pretty Hurts,BEYONCE (Explicit),rnb,3,257653,772944
BLK ODYSSY,BLK REVOLUTION (Explicit),BLK VINTAGE_ THE REPRISE (Explicit),"",3,110987,332694
FKA twigs,oh my love (Explicit),CAPRISONGS (Explicit),electronic,3,225653,676815
Ariana Grande,Knew Better _ Forever Boy,Dangerous Woman (Explicit),"pop,rnb",3,299213,331100
Hozier,De Selby (Part 1),Unreal Unearth_ Unaired,"",3,219693,642169
DUCKWRTH,Tuesday (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",3,157934,473730
Kendrick Lamar,good kid (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,214120,642297
Kendrick Lamar,"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,723573,1685236
FKA twigs,which way (feat. dystopia),CAPRISONGS (Explicit),electronic,3,122146,214550
Odeal,London Summers,The Summer That Saved Me (Explicit),"",3,217636,540745
Kendrick Lamar,Backseat Freestyle (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,212653,637830
twenty one pilots,Goner,Blurryface,"indie pop,alternative,electronic,indie",3,236733,709971
Lauryn Hill,I Used to Love Him,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",3,339866,711458
FKA twigs,papi bones (feat. shygirl) (Explicit),CAPRISONGS (Explicit),electronic,3,220040,457246
Adele,Best for Last,19 (Explicit),"soul,female vocalists,pop,british",3,258506,775452
DUCKWRTH,Jean's Smoke Break (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",3,22506,67473
Ruel,Don't Tell Me,Ready,"soul,indie,pop,alternative",3,241625,724740
FKA twigs,tears in the club (feat. the weeknd) (E,CAPRISONGS (Explicit),electronic,3,196760,590157
Hozier,Someone New,Hozier (Explicit),"soul,indie,blues,folk,indie rock",3,222813,378205
Florence + The Machine,What The Water Gave Me,Ceremonials,"indie,female vocalists,alternative,indie pop,british",3,333400,967260
BLK ODYSSY,THE REPRISE (Explicit),BLK VINTAGE_ THE REPRISE (Explicit),"",3,224908,567402
FKA twigs,honda (feat. pa salieu) (Explicit),CAPRISONGS (Explicit),electronic,3,201520,604368
Kendrick Lamar,Sherane a.k.a Master Splinter_s Da,"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,273640,820896
Florence + The Machine,Heartlines,Ceremonials,"indie,female vocalists,alternative,indie pop,british",3,301453,629890
Ariana Grande,Be Alright,Dangerous Woman (Explicit),"pop,rnb",3,179293,182437
Mahalia,Cheat (feat. JoJo) (Explicit),IRL (Explicit),"",3,202009,556720
Lauryn Hill,Superstar,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",3,297106,594893
Hozier,Angel of Small Death and the Codeine Scene,Hozier (Explicit),"soul,indie,blues,folk,indie rock",3,219213,277337
JID,Stars (Explicit),The Forever Story (Extended Version) (Ex,"",3,258244,750131
Arctic Monkeys,Mad Sounds,AM,"indie rock,rock,indie,alternative,british",3,215011,644769
BLK ODYSSY,COMPLEX OF KILLING A MAN (Explicit),BLK VINTAGE_ THE REPRISE (Explicit),"",3,189974,569817
Kanye West,Ultralight Beam (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",3,320680,701492
Beyoncé,XO,BEYONCE (Explicit),rnb,3,215946,432633
Ariana Grande,Dangerous Woman,Dangerous Woman (Explicit),"pop,rnb",3,235946,237816
Kendrick Lamar,m.A.A.d city (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",3,350120,1050357
JID,WRK (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",3,194095,546401
Adele,First Love,19 (Explicit),"soul,female vocalists,pop,british",3,190280,570651
SZA,The Weekend (Explicit),Ctrl (Explicit),"neo-soul,rnb",2,272186,518547
Beyoncé,DADDY LESSONS,Lemonade (Explicit),"pop,rnb,soul,rock",2,287982,575946
Florence + The Machine,Ship To Wreck,"How Big, How Blue, How Beautiful","indie rock,indie pop,indie",2,234526,468950
Odeal,My Heart,The Summer That Saved Me (Explicit),"",2,172240,344398
Kanye West,Pt. 2 (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,130293,260544
Florence + The Machine,Spectrum (Say My Name),Ceremonials,"indie,female vocalists,alternative,indie pop,british",2,311533,622968
Kanye West,Low Lights (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,131773,263522
JAY-Z,Family Feud (Explicit),4_44 (Explicit),"",2,251413,293354
Florence + The Machine,What Kind Of Man,"How Big, How Blue, How Beautiful","indie rock,indie pop,indie",2,216176,210572
Burna Boy,Different (feat. Damian Marley & Angeli,African Giant (Explicit),"rap,hip-hop",2,196356,146099
Odeal,ONOME,Sunday At Zuri's (Explicit),"",2,198545,396968
Hozier,Jackie and Wilson,Hozier (Explicit),"soul,indie,blues,folk,indie rock",2,223120,446194
Florence + The Machine,Breaking Down,Ceremonials,"indie,female vocalists,alternative,indie pop,british",2,229186,458292
Kanye West,Highlights (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,199866,258768
FKA twigs,track girl interlude,CAPRISONGS (Explicit),electronic,2,102866,205634
Arctic Monkeys,I Wanna Be Yours,AM,"indie rock,rock,indie,alternative,british",2,183956,367804
Florence + The Machine,Seven Devils,Ceremonials,"indie,female vocalists,alternative,indie pop,british",2,303253,606458
Hozier,July,Unreal Unearth_ Unaired,"",2,214426,428732
Odeal,Soh-Soh (Explicit),Sunday At Zuri's (Explicit),"",2,184552,368918
Dexta Daps,Twinkle (Explicit),VENT (Explicit),"dancehall,reggae",2,196235,392462
Hozier,Fare Well,Unreal Unearth_ Unaired,"",2,188454,376906
rum.gold,Save You,aiMless,"soul,pop,singer-songwriter",2,223733,229876
Florence + The Machine,"No Light, No Light",Ceremonials,"indie,female vocalists,alternative,indie pop,british",2,274853,549668
Beyoncé,LOVE DROUGHT,Lemonade (Explicit),"pop,rnb,soul,rock",2,237450,474800
Hozier,Too Sweet,Unreal Unearth_ Unaired,"",2,251424,502664
Beyoncé,Heaven,BEYONCE (Explicit),rnb,2,230893,251518
Dexta Daps,Breaking News (Explicit),VENT (Explicit),"dancehall,reggae",2,207157,414196
Lana Del Rey,Radio (Explicit),Born To Die (Explicit),"indie,pop,female vocalists,indie pop",2,214586,429138
The Neighbourhood,A Moment of Silence,Wiped Out!,"indie,indie rock,alternative,indie pop",2,30013,53870
Beyoncé,FORMATION,Lemonade (Explicit),"pop,rnb,soul,rock",2,206076,412106
Lauryn Hill,Ex-Factor,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",2,326533,652944
Beyoncé,___Flawless (Explicit),BEYONCE (Explicit),rnb,2,250960,501736
Florence + The Machine,All This And Heaven Too,Ceremonials,"indie,female vocalists,alternative,indie pop,british",2,245880,491728
Ariana Grande,Side To Side (Explicit),Dangerous Woman (Explicit),"pop,rnb",2,226173,414693
FKA twigs,minds of men,CAPRISONGS (Explicit),electronic,2,204533,409042
FKA twigs,jealousy (feat. rema) (Explicit),CAPRISONGS (Explicit),electronic,2,159666,319320
Kendrick Lamar,These Walls (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",2,300973,301870
Hozier,First Time,Unreal Unearth_ Unaired,"",2,233173,275388
Beyoncé,ALL NIGHT,Lemonade (Explicit),"pop,rnb,soul,rock",2,321992,643866
FKA twigs,christi interlude,CAPRISONGS (Explicit),electronic,2,64026,127988
Olivia Dean,Close Up,The Art of Loving,"pop,soul,rhythm and blues,neo soul",2,195000,346533
Kanye West,Frank's Track (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,38333,76642
Burna Boy,This Side (feat. YG) (Explicit),African Giant (Explicit),"rap,hip-hop",2,202646,405140
Nina Simone,Feeling Good,I Put A Spell On You,"jazz,soul,vocal jazz,blues",2,174000,191242
Odeal,Sondela,Sunday At Zuri's (Explicit),"",2,107223,214366
Beyoncé,SORRY,Lemonade (Explicit),"pop,rnb,soul,rock",2,232563,464978
Beyoncé,Blue,BEYONCE (Explicit),rnb,2,266920,533686
Beyoncé,FREEDOM,Lemonade (Explicit),"pop,rnb,soul,rock",2,289756,579500
Beyoncé,SANDCASTLES,Lemonade (Explicit),"pop,rnb,soul,rock",2,182707,365296
Beyoncé,PRAY YOU CATCH ME,Lemonade (Explicit),"pop,rnb,soul,rock",2,195998,391836
Kendrick Lamar,The Recipe (Bonus Track) (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",2,352853,462601
Beyoncé,Superpower,BEYONCE (Explicit),rnb,2,276560,553006
Kanye West,Father Stretch My Hands Pt. 1 (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,135920,271776
Kendrick Lamar,Institutionalized (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",2,271773,448260
Beyoncé,HOLD UP,Lemonade (Explicit),"pop,rnb,soul,rock",2,221092,441990
DUCKWRTH,Find A Way (Explicit),SuperGood (Explicit),"neo-soul,contemporary rnb",2,231118,462210
Kendrick Lamar,u (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",2,268493,269530
Odeal,Free Me,Sunday At Zuri's (Explicit),"",2,200030,399940
Kendrick Lamar,Alright (Explicit),To Pimp A Butterfly (Explicit),"hip-hop,funk,rap",2,219333,221621
Lauryn Hill,To Zion,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",2,369293,738580
Odeal,Miami (feat. Leon Thomas),The Summer That Saved Me (Explicit),"",2,216493,432818
Dexta Daps,Vent (Explicit),VENT (Explicit),"dancehall,reggae",2,176166,352130
FKA twigs,thank you song,CAPRISONGS (Explicit),electronic,2,208800,417586
Beyoncé,FORWARD,Lemonade (Explicit),"pop,rnb,soul,rock",2,79213,158406
Hozier,That You Are,Unreal Unearth_ Unaired,"",2,256520,512882
Solange,Don't You Wait,A Seat at the Table (Explicit),"neo-soul,rnb",2,245906,269907
JID,YouUgly (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",2,283748,567430
