artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
Kendrick Lamar,Compton (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","rap,gangsta rap,g-funk",1,248093,248084
Kanye West,Waves (Explicit),The Life Of Pablo (Explicit),"rap,hip-hop",1,181573,181551
Adele,Melt My Heart to Stone,19 (Explicit),"soul,female vocalists,pop,british",1,203906,203871
Lana Del Rey,Dark Paradise,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,243173,243121
Florence + The Machine,"No Light, No Light",Ceremonials,"indie,alternative,female vocalists,british",1,274853,274834
Jorja Smith,Home,Be Right Back (Explicit),"neo-soul,contemporary rnb",1,166424,166347
Kanye West,FML (Explicit),The Life Of Pablo (Explicit),"hip hop,rnb",1,236120,236068
Kanye West,No More Parties In LA (Explicit),The Life Of Pablo (Explicit),hip hop,1,374413,374413
Teyana Taylor,Gonna Love Me (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,166997,166974
Arctic Monkeys,Knee Socks,AM,"indie rock,rock,british,alternative",1,257563,58885
Kanye West,I Love Kanye (Explicit),The Life Of Pablo (Explicit),hip hop,1,44826,44826
Kanye West,30 Hours (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,323302,323291
Kanye West,Saint Pablo (Explicit),The Life Of Pablo (Explicit),"rap,hip-hop",1,372113,372088
Teyana Taylor,Never Would Have Made It (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,159924,159895
Lana Del Rey,Million Dollar Man,Born To Die (Explicit),"indie,pop,female vocalists,alternative,indie pop",1,231560,8228
Kanye West,Fade (Explicit),The Life Of Pablo (Explicit),"hip hop,deep house",1,193747,193724
Arctic Monkeys,Snap Out Of It,AM,"indie rock,alternative,british,rock,alternative rock",1,193030,193004
Lana Del Rey,Blue Jeans (Explicit),Born To Die (Explicit),"indie,female vocalists,pop,soul",1,209440,209397
Adele,Make You Feel My Love,19 (Explicit),"female vocalists,soul,british,piano",1,212040,211951
Teyana Taylor,Rose In Harlem (Explicit),K.T.S.E. (Explicit),"hip-hop,rap,rnb,neo soul",1,222828,222824
Lana Del Rey,This Is What Makes Us Girls,Born To Die (Explicit),"indie,pop,indie pop,chillout",1,240306,240300
Lana Del Rey,Off To The Races,Born To Die (Explicit),"pop,indie,indie pop,female vocalists",1,299933,299911
